ubigeo,departamento,provincia,distrito,n_ipress,total_atenciones,total_atendidos
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,57429.0,21821.0
010201,AMAZONAS,BAGUA,BAGUA,3,30750.0,15747.0
010307,AMAZONAS,BONGARA,JAZAN,1,207.0,207.0
010401,AMAZONAS,CONDORCANQUI,NIEVA,1,2870.0,1675.0
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,1,4543.0,4543.0
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,4,29575.0,19773.0
020101,ANCASH,HUARAZ,HUARAZ,2,48585.0,48358.0
020105,ANCASH,HUARAZ,INDEPENDENCIA,2,11112.0,9001.0
020201,ANCASH,AIJA,AIJA,1,57.0,57.0
020401,ANCASH,ASUNCION,CHACAS,1,650.0,626.0
020501,ANCASH,BOLOGNESI,CHIQUIAN,1,335.0,326.0
020505,ANCASH,BOLOGNESI,CAJACAY,1,8.0,8.0
020508,ANCASH,BOLOGNESI,HUALLANCA,1,116.0,113.0
020601,ANCASH,CARHUAZ,CARHUAZ,1,13758.0,8038.0
020606,ANCASH,CARHUAZ,MARCARA,1,269.0,263.0
020801,ANCASH,CASMA,CASMA,2,40089.0,26496.0
021001,ANCASH,HUARI,HUARI,1,6801.0,3916.0
021101,ANCASH,HUARMEY,HUARMEY,2,26412.0,14389.0
021201,ANCASH,HUAYLAS,CARAZ,1,11189.0,10237.0
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,1,634.0,634.0
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,2,12.0,12.0
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,2,272.0,271.0
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,1,149.0,146.0
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,1,231.0,231.0
021501,ANCASH,PALLASCA,CABANA,1,17.0,11.0
021503,ANCASH,PALLASCA,CONCHUCOS,1,1224.0,513.0
021508,ANCASH,PALLASCA,PALLASCA,1,55.0,50.0
021509,ANCASH,PALLASCA,PAMPAS,1,91.0,45.0
021601,ANCASH,POMABAMBA,POMABAMBA,2,7134.0,6746.0
021603,ANCASH,POMABAMBA,PAROBAMBA,6,79443.0,79443.0
021604,ANCASH,POMABAMBA,QUINUABAMBA,2,77906.0,77906.0
021701,ANCASH,RECUAY,RECUAY,1,5403.0,2607.0
021801,ANCASH,SANTA,CHIMBOTE,7,543026.0,215775.0
021803,ANCASH,SANTA,COISHCO,1,14107.0,4737.0
021806,ANCASH,SANTA,NEPEÑA,1,4645.0,2380.0
021809,ANCASH,SANTA,NUEVO CHIMBOTE,4,153815.0,106386.0
021901,ANCASH,SIHUAS,SIHUAS,2,4414.0,2862.0
021902,ANCASH,SIHUAS,ACOBAMBA,1,6052.0,1083.0
021903,ANCASH,SIHUAS,ALFONSO UGARTE,1,7089.0,1177.0
021905,ANCASH,SIHUAS,CHINGALPO,2,27914.0,5291.0
021907,ANCASH,SIHUAS,QUICHES,2,29594.0,3091.0
022001,ANCASH,YUNGAY,YUNGAY,1,7974.0,7402.0
030101,APURIMAC,ABANCAY,ABANCAY,4,128444.0,46465.0
030104,APURIMAC,ABANCAY,CURAHUASI,1,5155.0,4008.0
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,5,67389.0,32602.0
030501,APURIMAC,COTABAMBAS,TAMBOBAMBA,1,32971.0,7141.0
030601,APURIMAC,CHINCHEROS,CHINCHEROS,1,2444.0,2260.0
040101,AREQUIPA,AREQUIPA,AREQUIPA,8,642984.0,302506.0
040103,AREQUIPA,AREQUIPA,CAYMA,2,43056.0,35991.0
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,3,32279.0,23677.0
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,1,16598.0,12482.0
040108,AREQUIPA,AREQUIPA,LA JOYA,1,73.0,73.0
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,3,7367.0,6414.0
040110,AREQUIPA,AREQUIPA,MIRAFLORES,1,1974.0,1366.0
040112,AREQUIPA,AREQUIPA,PAUCARPATA,4,408861.0,144961.0
040122,AREQUIPA,AREQUIPA,SOCABAYA,1,8251.0,4308.0
040126,AREQUIPA,AREQUIPA,YANAHUARA,3,1049851.0,270553.0
040201,AREQUIPA,CAMANA,CAMANA,1,16152.0,9728.0
040208,AREQUIPA,CAMANA,SAMUEL PASTOR,1,47367.0,18791.0
040302,AREQUIPA,CARAVELI,ACARI,1,48.0,43.0
040307,AREQUIPA,CARAVELI,CHALA,1,2.0,2.0
040401,AREQUIPA,CASTILLA,APLAO,2,5255.0,4475.0
040410,AREQUIPA,CASTILLA,PAMPACOLCA,1,209.0,87.0
040501,AREQUIPA,CAYLLOMA,CHIVAY,1,4039.0,2240.0
040520,AREQUIPA,CAYLLOMA,MAJES,3,30717.0,18785.0
040601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,1,875.0,637.0
040701,AREQUIPA,ISLAY,MOLLENDO,3,140704.0,39927.0
040702,AREQUIPA,ISLAY,COCACHACRA,2,143.0,101.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,3,2840.0,804.0
040704,AREQUIPA,ISLAY,ISLAY,2,671.0,239.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,1,385.0,189.0
040801,AREQUIPA,LA UNION,COTAHUASI,1,1393.0,1333.0
050101,AYACUCHO,HUAMANGA,AYACUCHO,4,34409.0,22692.0
050104,AYACUCHO,HUAMANGA,CARMEN ALTO,3,3032.0,2899.0
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,4,171144.0,50647.0
050114,AYACUCHO,HUAMANGA,VINCHOS,1,21.0,21.0
